"Effective February 1, 2025",,
,,
,Part ID,LIST PRICE
,634,$83.00 
,641,$120.00 
,135613,"$1,015.00 "
,147384,$707.00 
,147435,$621.00 
,190101,"$1,015.00 "
,611214,$342.00 
,611222,$384.00 
,611227,$547.00 
,611233,$657.00 
,611240,$759.00 
,711218,$382.00 
,711222,$405.00 
,711228,$536.00 
,711232,$538.00 
,711234,$605.00 
,711240,$758.00 
,1.5XHECC,$307.00 
,100069,$211.00 
,100070,$214.00 
,100072,$284.00 
,101872,$242.00 
,101873,$262.00 
,101874,$278.00 
,101875,$292.00 
,101876,$306.00 
,101877,$316.00 
,101878,$321.00 
,101879,$418.00 
,101880,$429.00 
,101881,$483.00 
,101882,$215.00 
,104120,$243.00 
,104150,$243.00 
,104304,$296.00 
,104421,$296.00 
,104501,$320.00 
,104550,$185.00 
,104551,$207.00 
,104552,$220.00 
,104553,$234.00 
,104554,$258.00 
,104555,$281.00 
,104556,$300.00 
,104557,$310.00 
,104558,$401.00 
,104559,$412.00 
,104571,$464.00 
,104630,$260.00 
,104631,$260.00 
,104633,$278.00 
,104634,$282.00 
,104635,$296.00 
,104636,$333.00 
,104637,$340.00 
,104638,$272.00 
,104639,$300.00 
,104640,$342.00 
,104643,$351.00 
,104644,$377.00 
,104645,$377.00 
,104646,$394.00 
,104647,$432.00 
,104648,$464.00 
,104649,$493.00 
,104650,$564.00 
,104651,$557.00 
,104652,$604.00 
,104653,$712.00 
,104656,$212.00 
,104657,$215.00 
,104658,$220.00 
,104659,$242.00 
,104660,$242.00 
,104661,$275.00 
,104662,$281.00 
,104663,$282.00 
,104664,$296.00 
,104665,$306.00 
,104666,$321.00 
,104669,$225.00 
,104670,$230.00 
,104671,$232.00 
,104672,$257.00 
,104673,$258.00 
,104674,$259.00 
,104675,$373.00 
,104676,$375.00 
,104677,$380.00 
,104678,$384.00 
,104679,$387.00 
,104682,$712.00 
,104683,$717.00 
,104684,$718.00 
,104685,$733.00 
,104686,$734.00 
,104687,$735.00 
,104688,$737.00 
,104689,$759.00 
,104690,$764.00 
,104691,$769.00 
,104692,$770.00 
,147594,$103 
,147595,$56 
,147596,$56 
,147597,$56 
,147599,$111 
,147600,$111 
,1XHECC,$307.00 
,2401.0808D,$180.00 
,2401.0808U,$180.00 
,2401.1515D,$235.00 
,2401.1515U,$235.00 
